ID,Lat,Lon,RAI_avg,MRAI_avg,SRAI_avg
15635,27.8031,-81.1981,-49.475793539547155,-41.70359149545707,-85.61710195668118
16226,28.0017,-81.1936,-41.214038713161415,-33.890137292489,-89.57851909957625
16370,26.6844,-80.3675,-38.71798743791837,-25.360695761517434,-80.74389230978205
18178,28.0994,-81.5286,-30.99679396808633,-27.666363905868785,-53.333746136908275
18209,33.7069,-117.09,-29.824203991211252,-32.19556984303232,-75.7368691329263
18259,27.4386,-81.2064,-63.385210779165114,-33.026118817449884,-173.892025509317
18385,26.7003,-80.7161,-8.99158372793969,-5.127223305004514,-81.48119970364569
18670,33.9897,-116.6556,-34.356361966601575,-15.699288597944802,-103.28520894106813
18673,27.4725,-81.1439,-29.844866569555588,-11.275950277426082,-112.35218154810545
20080,33.8369,-116.6125,-63.003422952381364,-65.3051280464037,39.82027771551851
20100,33.82,-116.3928,-54.1196211410759,-61.92734294232499,186.51233037729816
20487,27.7528,-81.0772,-36.78591441713287,-21.64544981915937,-98.57685739098923
20808,33.4967,-117.1492,-124.16523667771273,-99.8812904408967,-34.272685025174745
20966,33.8319,-116.5578,-76.71315459129531,-68.3129404525997,220.13704053977582
21314,33.7153,-117.1903,-82.2635849091321,-73.66025581162884,118.47215732096137
21870,25.3669,-80.3764,-25.11259913245135,-38.76475950653521,-82.4106640824951
22659,25.47,-80.3464,-45.59380621820237,-39.91240410577852,236.11034751612655
22754,34.0028,-117.3778,-47.67090458431363,-53.660743268202104,-133.48589075384666
23010,33.5856,-116.4472,-36.309871352167505,-48.92751747801407,-113.63685412590685
24586,33.9878,-117.2689,-16.50303178295497,-42.948088498913954,-69.94425366187318
25325,33.8644,-117.1958,-33.26244679510642,-49.199125648398706,-81.82499944242974
25924,26.4989,-80.2222,-70.35361997206168,-66.10208597057269,-143.52659729179052
26119,27.5914,-81.4353,-23.105753309956658,-28.049890094052433,-102.75877875695558
26180,33.9408,-117.1372,-13.463903988888603,-23.69827960128066,-70.7357629814135
26194,33.8528,-117.4542,-47.447472021345064,-64.11892054640302,78.8000755102626
26323,33.6756,-116.6797,-55.231434092807696,-49.8230683932003,-93.2064805314489
26546,33.6506,-117.4131,-98.33809622231058,-73.43499183007192,36.06518951192415
27593,26.1297,-81.7625,-43.97741656362111,-54.58674765570065,-117.28196925955088
27708,33.7814,-116.4575,-30.07706104623653,-70.32135165246024,-113.13822531667783
27876,26.5128,-80.9819,-27.40457324786037,-38.9532985401441,-74.71974291142654
28264,33.9722,-116.9117,-22.68607903821517,-24.428345091927405,-36.536968377908366
28348,25.9898,-80.8362,-48.035807930797795,-25.465850504009996,-94.37992590619598
28409,26.0821,-80.6915,-76.62854040517512,-81.75053373759262,-142.81240621299867
28820,26.2665,-80.7795,-57.943763160048675,-47.68644836596365,-155.07540910644096
28895,26.1915,-80.4492,-37.5644825289072,-52.160192002141194,-108.24234908791442
29271,35.3811,-120.1875,-49.76216452057542,-50.02901381100556,195.13019327566155
29279,40.2569,-124.2661,-76.51252016071605,-56.59491838558933,205.11023715601607
29534,33.445,-117.4181,-17.839948797208663,-28.395070780496724,-60.09737445898884
30064,35.4333,-100.8,-23.341091575574026,-14.584803096886908,-26.596642110859737
30130,35.2642,-100.2414,-36.11550290583177,-46.17559274833406,-97.03064399608887
30136,29.5731,-99.4028,-5.394347680339486,-23.3795701741139,-23.527936900740386
30178,36.0313,-96.4975,-22.851913303169155,-50.151885077515615,-39.54649991098712
30220,31.0817,-98.0164,-24.484774151364576,-36.3946519510347,-125.83691566069946
30326,33.2933,-98.0786,-10.184484946253072,-22.577709970319106,-37.713295448628855
